Gender,Married,Education,Self_Employed,ApplicantIncome,Credit_History,Loan_Status
1,1,1,0,4583,1,No
1,1,1,1,3000,1,Yes
1,1,0,0,2583,1,Yes
1,0,1,0,6000,1,Yes
1,1,1,1,5417,1,Yes
1,1,0,0,2333,1,Yes
1,1,1,0,3036,0,No
1,1,1,0,4006,1,Yes
1,1,1,0,12841,1,No
1,1,1,0,3200,1,Yes
1,1,1,0,3073,1,Yes
1,0,1,0,1853,1,No
1,1,1,0,1299,1,Yes
1,0,1,0,4950,1,Yes
0,0,1,0,3510,0,No
1,1,0,0,4887,1,No
1,1,0,0,7660,0,No
1,1,1,0,5955,1,Yes
1,1,0,0,2600,0,No
1,1,1,1,9560,1,Yes
1,1,1,0,2799,1,Yes
1,1,0,0,4226,1,Yes
1,0,0,0,1442,1,No
1,0,1,0,3167,1,No
1,0,1,1,4692,1,No
1,1,1,0,3500,1,Yes
1,0,1,0,12500,1,No
0,1,1,0,3667,1,Yes
1,0,1,0,4166,1,Yes
1,0,0,0,3748,1,Yes
1,0,1,0,3600,1,No
1,0,1,0,1800,1,Yes
1,1,1,0,3941,1,Yes
1,1,1,0,5649,1,Yes
1,1,1,0,5821,1,Yes
0,1,1,0,2645,0,No
0,0,1,0,4000,1,Yes
0,1,0,0,1928,1,Yes
0,0,1,0,3086,1,Yes
0,0,1,0,4230,1,No
1,1,1,0,4616,1,No
0,1,1,1,11500,0,No
1,1,1,0,2708,1,Yes
1,1,1,0,2132,1,Yes
1,1,1,0,3366,1,No
1,1,1,0,8080,1,Yes
1,1,0,0,3357,1,Yes
1,1,1,0,2500,1,Yes
1,1,1,0,3029,1,Yes
1,1,0,1,2609,0,No
0,0,1,0,4166,0,No
1,1,1,0,5726,1,No
1,0,0,0,3200,0,No
1,1,1,0,10750,1,Yes
1,1,0,1,7100,1,Yes
0,0,1,0,4300,0,No
1,1,1,0,3208,1,Yes
1,1,0,1,1875,1,Yes
1,0,1,0,3500,1,Yes
1,1,1,1,5266,1,Yes
1,0,1,0,3750,1,No
1,0,1,0,3750,1,No
1,1,1,1,1000,1,No
1,1,1,0,3167,0,No
0,0,1,0,3846,1,Yes
0,1,1,0,1378,1,No
1,1,1,0,3988,1,Yes
1,0,1,0,2366,1,Yes
1,1,1,0,2500,1,Yes
1,0,1,0,8566,1,Yes
1,1,1,0,5695,1,Yes
1,1,1,0,2958,1,Yes
1,1,1,0,6250,1,Yes
1,1,0,0,3273,1,Yes
1,0,1,0,4133,1,Yes
1,0,0,0,3620,1,Yes
0,1,1,0,2484,1,Yes
1,1,1,0,1977,1,Yes
1,1,0,0,4188,1,Yes
1,1,1,0,1759,1,Yes
1,1,0,0,4288,1,Yes
1,0,1,0,4843,1,Yes
1,1,1,0,3052,1,Yes
1,1,1,0,11417,1,Yes
1,1,1,0,3800,0,No
1,1,0,0,2071,1,Yes
1,0,1,0,5316,1,Yes
1,1,1,0,14583,1,Yes
0,1,1,0,3167,1,Yes
1,1,1,0,5568,1,No
0,0,1,0,10408,1,Yes
0,0,1,0,4166,1,Yes
0,0,1,0,2137,0,Yes
1,1,1,0,2957,1,Yes
1,1,0,0,4300,1,Yes
1,1,1,1,10513,0,No
1,0,1,0,2014,1,Yes
1,0,1,0,2718,1,Yes
1,1,1,1,3459,1,Yes
1,0,1,0,4895,1,Yes
1,1,1,0,4000,1,No
0,1,1,0,4583,1,No
1,1,1,1,3316,1,Yes
1,0,1,0,14999,0,No
1,1,0,0,4200,1,No
1,1,1,0,5042,1,No
1,0,1,0,5417,1,Yes
1,0,1,1,6950,1,Yes
1,1,1,0,2698,1,Yes
1,1,1,0,11757,1,Yes
0,1,1,0,2330,1,Yes
0,1,1,0,14866,1,Yes
1,1,1,0,1538,1,Yes
0,0,1,0,10000,1,No
1,1,1,0,4860,1,Yes
1,0,1,0,6277,0,No
1,1,1,1,2577,1,Yes
1,0,1,0,9166,1,No
1,1,0,0,2281,1,No
1,0,1,0,3254,1,Yes
1,1,1,0,39999,0,Yes
1,1,1,0,9538,1,Yes
1,1,1,0,4583,1,Yes
1,1,0,0,1863,1,Yes
1,1,1,0,7933,1,No
1,1,1,0,3089,0,No
1,1,1,0,4167,1,Yes
1,1,1,0,9323,1,Yes
0,1,1,0,4583,1,No
1,1,1,0,2439,1,Yes
1,0,1,0,2237,0,No
1,1,1,0,8000,1,Yes
1,1,0,0,3522,1,No
1,1,1,0,5708,1,Yes
1,1,0,1,4344,1,No
1,1,1,0,3497,1,Yes
1,1,1,0,2045,1,Yes
1,1,1,0,5516,0,No
1,1,1,0,3750,1,Yes
1,0,0,0,2333,0,No
1,1,1,0,6400,0,No
1,1,1,0,4600,1,Yes
1,1,1,0,33846,1,No
0,1,1,0,3625,1,Yes
1,1,1,1,39147,1,Yes
1,1,1,1,2178,0,No
1,1,1,0,9328,1,Yes
1,0,0,0,4885,1,Yes
1,0,1,0,12000,1,No
1,1,0,0,6033,1,No
1,0,1,0,3858,1,Yes
1,0,1,0,4191,1,Yes
1,1,1,0,3125,1,No
1,0,1,0,8333,1,Yes
1,0,1,1,11000,1,No
1,1,0,0,2600,1,Yes
1,0,1,0,4923,0,Yes
1,1,0,0,3500,1,Yes
1,1,0,0,3917,1,Yes
0,0,0,0,4408,1,Yes
0,0,1,0,3244,1,Yes
1,0,0,0,3975,1,Yes
1,0,1,0,2479,1,Yes
1,0,1,0,3418,1,No
0,0,1,0,10000,1,No
1,1,1,0,3430,0,No
1,1,1,1,7787,1,Yes
1,1,0,1,5703,1,Yes
1,1,1,0,3173,1,Yes
1,1,0,0,3850,1,Yes
1,1,1,0,150,1,No
1,1,1,0,3727,1,Yes
1,1,1,0,2221,0,No
1,1,1,0,4009,1,Yes
1,0,1,0,2971,1,Yes
1,1,1,0,6250,1,Yes
1,1,1,0,3250,1,No
1,1,1,0,6250,1,Yes
1,0,1,1,6400,1,Yes
1,1,1,0,2491,1,Yes
0,0,1,0,8333,1,Yes
1,1,1,0,3155,1,Yes
1,1,1,0,5500,1,Yes
0,0,1,0,3812,1,Yes
1,1,1,0,3315,1,Yes
1,1,1,0,5819,1,Yes
1,1,0,0,2510,1,No
1,0,1,0,2965,1,Yes
1,1,1,1,6250,1,Yes
1,1,0,0,3406,1,Yes
1,0,1,1,6050,1,No
1,1,1,0,9703,1,Yes
1,1,0,0,6608,1,Yes
1,1,1,0,2882,1,Yes
1,1,1,0,1809,1,Yes
1,1,0,0,1668,0,No
0,0,1,0,3427,1,No
1,0,0,1,2583,1,Yes
1,1,0,0,2661,1,Yes
1,0,1,1,16250,0,No
0,0,1,0,3083,1,Yes
1,0,0,0,6045,0,No
1,1,1,0,5250,1,No
1,1,1,0,14683,1,No
1,0,1,0,2060,1,Yes
0,0,1,0,3481,1,No
0,0,1,0,7200,1,Yes
1,0,1,1,5166,1,Yes
1,0,1,0,4095,1,Yes
1,1,1,0,4708,1,Yes
1,1,1,0,4333,0,Yes
0,0,1,0,2876,1,Yes
0,0,1,0,3237,1,Yes
1,1,1,0,11146,1,Yes
1,0,1,0,2833,1,Yes
1,1,1,0,2620,1,Yes
1,1,1,0,3900,1,Yes
1,1,1,0,2750,1,Yes
1,1,1,0,3993,1,Yes
1,1,1,0,3103,1,Yes
1,1,1,0,14583,1,Yes
1,0,0,1,4053,0,No
1,1,1,0,3927,1,Yes
1,1,1,0,2301,1,Yes
0,0,1,0,1811,1,Yes
1,0,1,0,3158,1,Yes
0,0,1,1,2600,1,No
1,1,1,0,3704,1,Yes
0,0,1,0,4124,1,Yes
1,0,1,0,9508,1,Yes
1,1,1,0,3075,1,Yes
1,1,1,0,4400,0,No
1,1,1,0,3153,1,Yes
1,1,1,0,2383,1,Yes
1,1,1,0,6875,1,Yes
0,1,1,0,4666,1,Yes
0,0,1,0,5000,1,No
1,1,1,0,2014,1,No
1,1,0,0,1800,0,No
0,0,1,0,5000,1,Yes
1,1,1,0,1625,1,Yes
1,0,1,0,4000,1,Yes
0,0,1,0,3762,1,Yes
0,0,1,0,2400,0,No
1,0,1,0,20233,1,No
0,0,1,0,2917,1,Yes
1,0,0,0,2927,1,Yes
0,0,1,0,2507,1,Yes
1,1,0,0,3399,1,Yes
1,1,1,0,3717,1,Yes
1,1,1,1,10000,1,No
1,1,1,0,2400,1,Yes
1,1,1,0,4342,1,Yes
1,1,1,0,15000,1,Yes
1,1,1,1,8666,0,No
1,0,1,0,4917,0,Yes
1,1,1,1,5818,1,Yes
0,1,1,0,4333,1,No
0,0,1,0,2500,1,Yes
1,0,1,0,4384,1,Yes
1,0,1,0,2935,1,Yes
1,1,1,1,2500,1,Yes
0,0,1,0,4160,1,Yes
1,1,0,0,2647,1,No
0,0,1,0,2378,1,No
1,1,0,0,4554,1,Yes
1,1,0,0,3173,1,Yes
1,1,1,0,2499,1,Yes
1,1,0,0,3083,1,Yes
1,1,1,0,2625,1,Yes
1,1,1,0,9083,1,Yes
1,0,1,0,8750,1,No
1,1,1,0,2666,1,Yes
0,1,1,1,5500,0,No
0,1,1,0,2423,1,Yes
1,1,1,0,8333,1,Yes
1,1,1,0,3875,1,No
1,1,0,0,3000,0,No
1,1,1,0,5167,1,Yes
0,0,1,0,4723,1,No
1,1,1,0,5000,1,Yes
1,1,1,0,4750,1,Yes
1,0,1,1,6822,1,Yes
1,0,0,0,6216,1,No
1,0,1,0,2500,1,No
1,1,1,0,6325,1,Yes
1,1,1,0,19730,1,No
0,0,1,1,15759,1,Yes
1,1,1,0,5185,1,Yes
1,1,1,1,9323,1,Yes
1,0,1,0,3062,0,No
1,1,1,0,4817,1,Yes
1,1,1,0,8750,1,Yes
1,0,1,0,3069,1,No
1,1,1,0,5391,1,Yes
1,0,1,0,5941,1,Yes
0,0,1,0,6000,1,Yes
1,0,1,1,7167,1,Yes
1,1,1,0,4566,1,No
1,0,0,0,2346,1,Yes
1,1,1,0,2333,1,Yes
1,1,1,0,5488,1,Yes
1,0,1,0,9167,1,Yes
1,1,1,0,9504,1,Yes
1,1,0,0,1993,1,Yes
1,1,1,0,3100,1,Yes
0,0,1,0,3180,0,No
1,1,1,0,3033,1,Yes
1,0,0,0,3902,1,Yes
0,0,1,0,1500,0,No
1,1,0,0,2889,0,No
1,0,0,0,2755,1,No
1,0,1,0,2500,1,Yes
0,0,0,0,1963,1,Yes
0,0,1,1,7441,1,No
0,0,1,0,4547,1,Yes
1,1,0,0,2167,1,Yes
0,0,0,0,2213,1,Yes
1,1,1,0,8300,0,No
1,1,1,0,81000,0,No
0,0,0,1,3867,1,No
1,1,0,0,6096,0,No
1,1,0,0,2253,1,Yes
0,1,0,0,2149,0,No
0,0,1,0,2995,1,Yes
0,0,1,0,2600,1,No
1,1,1,1,1600,1,No
1,1,1,0,1025,1,Yes
1,1,1,0,3246,1,Yes
1,1,1,0,5829,1,Yes
1,1,1,0,1820,1,Yes
1,1,1,0,14880,1,Yes
1,1,1,0,2666,1,Yes
0,0,0,0,4606,1,No
1,1,1,0,5935,1,Yes
1,1,1,0,2920,1,Yes
1,0,0,0,2717,1,Yes
0,0,1,1,8624,1,Yes
1,0,1,0,6500,0,No
1,1,1,0,2425,1,Yes
1,0,1,0,3750,1,Yes
1,0,1,0,1926,1,Yes
1,0,1,1,10416,0,No
0,1,0,1,7142,1,Yes
1,0,1,0,3660,1,Yes
1,1,1,0,7901,1,Yes
1,0,0,0,4707,1,Yes
1,0,1,0,37719,1,Yes
1,1,1,1,3466,1,Yes
1,1,0,0,4652,1,Yes
1,1,1,0,3340,0,No
1,1,0,0,2309,0,No
1,1,1,0,3948,0,No
1,1,1,0,2483,0,Yes
1,0,1,1,7085,1,Yes
1,1,1,0,3859,1,Yes
1,1,1,0,4301,1,Yes
1,1,1,0,3708,1,No
1,0,1,0,4354,1,Yes
1,1,1,0,8334,1,No
1,1,1,0,7740,1,Yes
1,1,1,0,3015,1,Yes
1,0,1,0,4166,0,No
1,0,1,0,6000,1,Yes
1,1,0,0,2947,0,No
1,1,1,0,4333,1,No
1,1,1,1,3450,1,Yes
1,1,0,0,2653,0,No
1,1,1,0,4691,1,Yes
1,0,1,0,5532,1,Yes
1,1,1,1,16525,1,Yes
1,1,1,0,6700,1,Yes
1,1,1,1,16667,1,Yes
0,0,0,0,4350,1,Yes
1,1,0,0,3095,1,Yes
1,1,1,0,2083,1,Yes
1,1,1,0,10833,1,Yes
1,1,1,0,8333,1,Yes
1,1,0,0,1958,1,Yes
1,0,1,0,3547,0,No
1,1,1,0,18333,1,No
1,1,1,1,4583,1,Yes
1,0,1,0,2435,1,No
1,0,0,0,3691,1,Yes
0,0,0,1,17263,1,Yes
1,1,1,0,3597,0,No
0,1,1,0,3326,1,Yes
1,1,0,0,2600,1,Yes
1,1,1,1,2895,1,Yes
1,0,1,0,6283,0,No
0,0,1,0,645,1,Yes
0,0,1,0,3159,1,Yes
1,1,1,0,4865,1,Yes
1,1,0,0,3814,1,Yes
1,1,1,0,3510,1,Yes
1,1,1,1,2479,1,Yes
0,0,1,0,13262,1,Yes
1,0,0,0,3598,1,No
1,1,1,0,6065,1,Yes
1,1,1,0,3283,1,Yes
1,1,1,0,2130,1,No
1,0,1,0,5815,1,No
1,1,1,0,3466,1,Yes
0,1,1,0,2031,1,Yes
1,0,1,0,4683,1,No
0,0,0,0,3400,1,No
1,1,0,0,2192,1,Yes
1,0,1,0,2500,1,Yes
1,1,1,1,5677,1,Yes
1,1,1,1,7948,1,Yes
1,1,1,1,17500,1,Yes
1,1,1,0,3775,1,Yes
1,1,0,0,5285,0,Yes
1,0,0,0,2679,1,Yes
1,0,0,0,6783,1,Yes
1,1,1,0,4281,1,Yes
1,0,1,0,3588,0,No
0,0,0,1,18165,1,Yes
1,1,1,0,6133,1,Yes
1,0,1,0,3617,1,Yes
1,1,0,0,2917,1,No
1,1,1,0,6417,1,Yes
0,1,1,0,4608,1,Yes
0,0,1,0,2138,0,No
1,1,0,0,2239,1,Yes
1,1,1,0,2768,1,Yes
1,0,0,0,3358,1,No
1,0,1,0,2526,1,Yes
0,0,1,0,5000,0,No
1,1,1,0,2785,1,Yes
1,1,1,0,3333,1,Yes
1,1,0,0,2454,0,No
1,1,1,0,3593,0,No
1,1,1,0,5468,1,Yes
1,1,1,1,10139,1,Yes
1,1,1,0,3887,1,Yes
0,1,1,0,4180,1,Yes
1,1,0,0,3675,1,Yes
0,1,1,1,19484,1,Yes
1,1,1,0,5923,1,Yes
1,0,0,1,5800,1,Yes
1,1,1,0,8799,0,No
1,0,1,0,3333,1,Yes
1,1,1,0,3400,0,No
0,0,1,0,2378,1,No
1,1,1,0,3166,0,No
1,1,1,0,3417,1,Yes
1,1,1,0,16666,1,Yes
1,1,0,0,6125,1,No
1,1,1,0,6406,1,No
1,1,1,0,3159,1,Yes
1,0,1,0,3229,1,Yes
1,1,1,0,1782,1,Yes
1,1,1,0,6540,1,Yes
1,0,1,0,1836,1,No
0,1,1,0,3166,1,Yes
1,1,1,0,2787,0,No
1,1,1,0,4283,1,No
1,1,1,0,2297,1,Yes
0,0,0,0,2165,1,Yes
1,1,1,1,2726,0,No
1,1,1,0,3000,1,Yes
1,1,1,1,6000,1,No
1,1,1,0,3859,1,Yes
1,1,1,1,16120,1,Yes
1,0,0,0,3833,1,Yes
1,1,0,1,6383,1,No
1,1,1,1,9963,1,Yes
1,1,1,0,5780,1,Yes
1,1,1,0,5703,1,Yes
1,0,1,0,3676,1,Yes
0,1,1,0,12000,1,Yes
1,1,1,0,3400,1,Yes
1,1,0,0,3987,1,Yes
1,1,1,0,3232,1,Yes
0,0,1,0,2900,1,Yes
1,1,1,0,4106,1,Yes
1,1,1,0,8072,1,Yes
1,1,1,0,7583,1,Yes
0,0,1,1,4583,0,No
